#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_senator_k_new_york;Senator;;;;;;;;;;;;;x
title_senator_k_new_york_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_new_england;Senator;;;;;;;;;;;;;x
title_senator_k_new_england_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_hudsonia;Senator;;;;;;;;;;;;;x
title_senator_k_hudsonia_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_deitscherei;Senator;;;;;;;;;;;;;x
title_senator_k_deitscherei_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_allegheny;Senator;;;;;;;;;;;;;x
title_senator_k_allegheny_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_ohio;Senator;;;;;;;;;;;;;x
title_senator_k_ohio_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_old_dominion;Senator;;;;;;;;;;;;;x
title_senator_k_old_dominion_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_carolina;Senator;;;;;;;;;;;;;x
title_senator_k_carolina_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_dixieland;Senator;;;;;;;;;;;;;x
title_senator_k_dixieland_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_florida;Senator;;;;;;;;;;;;;x
title_senator_k_florida_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_louisiana;Senator;;;;;;;;;;;;;x
title_senator_k_louisiana_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_appalachia;Senator;;;;;;;;;;;;;x
title_senator_k_appalachia_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_michigan;Senator;;;;;;;;;;;;;x
title_senator_k_michigan_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_uppland;Senator;;;;;;;;;;;;;x
title_senator_k_uppland_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_magnolia;Senator;;;;;;;;;;;;;x
title_senator_k_magnolia_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_chicagoland;Senator;;;;;;;;;;;;;x
title_senator_k_chicagoland_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_iowa;Senator;;;;;;;;;;;;;x
title_senator_k_iowa_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_missouri;Senator;;;;;;;;;;;;;x
title_senator_k_missouri_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_ozarks;Senator;;;;;;;;;;;;;x
title_senator_k_ozarks_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_jacinto;Senator;;;;;;;;;;;;;x
title_senator_k_jacinto_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_rio_grande;Senator;;;;;;;;;;;;;x
title_senator_k_rio_grande_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_comancheria;Senator;;;;;;;;;;;;;x
title_senator_k_comancheria_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_platte;Senator;;;;;;;;;;;;;x
title_senator_k_platte_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_colorado;Senator;;;;;;;;;;;;;x
title_senator_k_colorado_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_yellowstone;Senator;;;;;;;;;;;;;x
title_senator_k_yellowstone_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_arixo;Senator;;;;;;;;;;;;;x
title_senator_k_arixo_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_deseret;Senator;;;;;;;;;;;;;x
title_senator_k_deseret_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_idaho;Senator;;;;;;;;;;;;;x
title_senator_k_idaho_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_death_valley;Senator;;;;;;;;;;;;;x
title_senator_k_death_valley_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_socal;Senator;;;;;;;;;;;;;x
title_senator_k_socal_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_the_valley;Senator;;;;;;;;;;;;;x
title_senator_k_the_valley_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_francisco;Senator;;;;;;;;;;;;;x
title_senator_k_francisco_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_jefferson;Senator;;;;;;;;;;;;;x
title_senator_k_jefferson_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_cascadia;Senator;;;;;;;;;;;;;x
title_senator_k_cascadia_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
title_senator_k_lincoln;Senator;;;;;;;;;;;;;x
title_senator_k_lincoln_desc;The noble Senators provide a check to the President's power.;;;;;;;;;;;;;x
